TIPO;DATA;PARCELA;DESCRICAO;VALOR
PRESTAÇÃO;05/03/2025;6X12;Academia;R$ 117,80
PRESTAÇÃO;07/05/2025;;Spotify;R$ 11,90
PRESTAÇÃO;12/03/2025;6X6;Pneu_MOTO;R$ 153,33
PRESTAÇÃO;02/04/2025;5X8;Impressora;R$ 156,12
PRESTAÇÃO;26/05/2025;4X7;Tênis Andréa;R$ 51,41
PRESTAÇÃO_NU;02/07/2025;2X4;Parte elétrica e pastilhamento;R$ 100,75
PRESTAÇÃO_NU;11/07/2025;2X2;Presente Alice;R$ 47,50
PRESTAÇÃO_NU;28/08/2025;1x2;Ventilador;R$ 59,90
FIXO_NU;17/08/2025;;Cabelereiro;R$ 35,00
FIXO_NU;18/08/2025;;Farmácia;R$ 15,00
FIXO_NU;18/08/2025;;Farmácia;R$ 17,50
FIXO_NU;25/08/2025;;Farmácia;R$ 45,89
FIXO_NU;07/08/2025;;Gasolina_MOTO;R$ 70,09
FIXO_NU;17/08/2025;;Gasolina_MOTO;R$ 81,58
FIXO_NU;28/08/2025;;Gasolina_MOTO;R$ 88,44
FIXO_NU;31/08/2025;;Troca_Óleo;R$ 152,00
VARIÁVEL_NU;15/08/2025;;Café_FATEC;R$ 3,00
VARIÁVEL_NU;20/08/2025;;Salgado_FATEC;R$ 13,00
VARIÁVEL_NU;23/08/2025;;Torta_FATEC;R$ 21,00
VARIÁVEL_NU;03/08/2025;;Gasolina_Carro;R$ 50,00
VARIÁVEL_NU;03/08/2025;;Mercado;R$ 22,99
VARIÁVEL_NU;05/08/2025;;Para Todos - plantas;R$ 19,50
VARIÁVEL_NU;06/08/2025;;Pizza;R$ 36,00
VARIÁVEL_NU;06/08/2025;;Gallo - plantas;R$ 5,00
VARIÁVEL_NU;13/08/2025;;Mercado_Escola;R$ 6,77
VARIÁVEL_NU;14/08/2025;;Papelaria;R$ 31,80
VARIÁVEL_NU;24/08/2025;;Lanche;R$ 29,50
VARIÁVEL_NU;27/08/2025;;Mercado;R$ 7,18
VARIÁVEL_NU;29/08/2025;;Garrafa de água;R$ 3,00
VARIÁVEL_NU;31/08/2025;;Porção + Cerveja;R$ 51,50
TOTAL_FATURA_NUBANK;10/07/2025;;TOTAL_NU;R$ 1.504,45
PRESTAÇÃO_MP;16/05/2025;4x6;Bauleto_MP;R$ 31,31
VARIÁVEL_MP;22/08/2025;;GTA-V;R$ 17,50
TOTAL_FATURA_MP;10/06/2025;;TOTAL_MP;R$ 48,81
PRESTAÇÃO_CARTEIRA;10/02/2025;8x12;Guarda Roupa;R$ 148,32
PRESTAÇÃO_CARTEIRA;07/07/2025;2x2;Calça shopping;R$ 55,00
FIXO_CARTEIRA;10/07/2025;;CONTAS DA CASA;R$ 900,00
FIXO_CARTEIRA;10/07/2025;;Dentista;R$ 100,00
VARIÁVEL_CARTEIRA;13/09/2025;;Emp_Tia_Jac;R$ 50,00
VARIÁVEL_CARTEIRA;21/09/2025;;God of War;R$ 19,90
VARIÁVEL_CARTEIRA;28/08/2025;;Guittar Hero;R$ 28,08
TOTAL_GASTOS_DINHEIRO;10/06/2025;;TOTAL_DINHEIRO;R$ 1.373,22
TOTAL_GASTOS_MENSAL;01/09/2024;;TOTAL_MENSAL;R$ 2.926,48
